m,mean_m,T,interaction_type
1,0.12000000000000004,0.0,antiferro
2,0.07999999999999999,0.0,antiferro
3,0.019999999999999997,0.0,antiferro
1,0.1892,0.10101010101010101,antiferro
2,0.0738,0.10101010101010101,antiferro
3,0.06315,0.10101010101010101,antiferro
1,0.06509999999999999,0.20202020202020202,antiferro
2,0.22510000000000002,0.20202020202020202,antiferro
3,0.009800000000000001,0.20202020202020202,antiferro
1,0.030449999999999998,0.30303030303030304,antiferro
2,0.10335000000000001,0.30303030303030304,antiferro
3,0.04800000000000001,0.30303030303030304,antiferro
1,0.017750000000000002,0.40404040404040403,antiferro
2,0.15430000000000002,0.40404040404040403,antiferro
3,0.04535,0.40404040404040403,antiferro
1,0.03365,0.5050505050505051,antiferro
2,0.1052,0.5050505050505051,antiferro
3,0.048949999999999994,0.5050505050505051,antiferro
1,0.03335,0.6060606060606061,antiferro
2,0.08420000000000001,0.6060606060606061,antiferro
3,0.016399999999999998,0.6060606060606061,antiferro
1,0.06265000000000001,0.7070707070707071,antiferro
2,0.0416,0.7070707070707071,antiferro
3,0.02885,0.7070707070707071,antiferro
1,0.04705,0.8080808080808081,antiferro
2,0.06480000000000001,0.8080808080808081,antiferro
3,0.012600000000000002,0.8080808080808081,antiferro
1,0.035250000000000004,0.9090909090909091,antiferro
2,0.0401,0.9090909090909091,antiferro
3,0.01275,0.9090909090909091,antiferro
1,0.03455,1.0101010101010102,antiferro
2,0.021499999999999995,1.0101010101010102,antiferro
3,0.02795,1.0101010101010102,antiferro
1,0.016800000000000002,1.1111111111111112,antiferro
2,0.048100000000000004,1.1111111111111112,antiferro
3,0.009049999999999999,1.1111111111111112,antiferro
1,0.01695,1.2121212121212122,antiferro
2,0.061900000000000004,1.2121212121212122,antiferro
3,0.013500000000000002,1.2121212121212122,antiferro
1,0.025550000000000003,1.3131313131313131,antiferro
2,0.05795000000000001,1.3131313131313131,antiferro
3,0.0169,1.3131313131313131,antiferro
1,0.0192,1.4141414141414141,antiferro
2,0.05565,1.4141414141414141,antiferro
3,0.01565,1.4141414141414141,antiferro
1,0.0183,1.5151515151515151,antiferro
2,0.067,1.5151515151515151,antiferro
3,0.0144,1.5151515151515151,antiferro
1,0.0101,1.6161616161616161,antiferro
2,0.04625,1.6161616161616161,antiferro
3,0.016950000000000003,1.6161616161616161,antiferro
1,0.01565,1.7171717171717171,antiferro
2,0.028350000000000004,1.7171717171717171,antiferro
3,0.0103,1.7171717171717171,antiferro
1,0.014849999999999999,1.8181818181818181,antiferro
2,0.02545,1.8181818181818181,antiferro
3,0.008799999999999999,1.8181818181818181,antiferro
1,0.004550000000000002,1.9191919191919191,antiferro
2,0.048049999999999995,1.9191919191919191,antiferro
3,0.014649999999999998,1.9191919191919191,antiferro
1,0.0053,2.0202020202020203,antiferro
2,0.0387,2.0202020202020203,antiferro
3,0.0075,2.0202020202020203,antiferro
1,0.016800000000000002,2.121212121212121,antiferro
2,0.03135,2.121212121212121,antiferro
3,0.0073,2.121212121212121,antiferro
1,0.0039000000000000003,2.2222222222222223,antiferro
2,0.042249999999999996,2.2222222222222223,antiferro
3,0.0116,2.2222222222222223,antiferro
1,0.006349999999999998,2.323232323232323,antiferro
2,0.0217,2.323232323232323,antiferro
3,0.0043500000000000014,2.323232323232323,antiferro
1,0.01135,2.4242424242424243,antiferro
2,0.022649999999999997,2.4242424242424243,antiferro
3,0.007150000000000001,2.4242424242424243,antiferro
1,0.010500000000000002,2.525252525252525,antiferro
2,0.014950000000000001,2.525252525252525,antiferro
3,0.0055,2.525252525252525,antiferro
1,0.003999999999999999,2.6262626262626263,antiferro
2,0.0184,2.6262626262626263,antiferro
3,0.0060999999999999995,2.6262626262626263,antiferro
1,0.01135,2.727272727272727,antiferro
2,0.014700000000000001,2.727272727272727,antiferro
3,0.0051,2.727272727272727,antiferro
1,0.00685,2.8282828282828283,antiferro
2,0.020700000000000003,2.8282828282828283,antiferro
3,0.0106,2.8282828282828283,antiferro
1,0.0067500000000000025,2.929292929292929,antiferro
2,0.014750000000000001,2.929292929292929,antiferro
3,0.014500000000000002,2.929292929292929,antiferro
1,0.0055,3.0303030303030303,antiferro
2,0.013300000000000001,3.0303030303030303,antiferro
3,0.003300000000000001,3.0303030303030303,antiferro
1,0.00615,3.131313131313131,antiferro
2,0.013000000000000001,3.131313131313131,antiferro
3,0.0041,3.131313131313131,antiferro
1,0.008699999999999998,3.2323232323232323,antiferro
2,0.01825,3.2323232323232323,antiferro
3,0.007700000000000001,3.2323232323232323,antiferro
1,0.009149999999999998,3.3333333333333335,antiferro
2,0.009150000000000002,3.3333333333333335,antiferro
3,0.003450000000000001,3.3333333333333335,antiferro
1,0.005799999999999999,3.4343434343434343,antiferro
2,0.007350000000000001,3.4343434343434343,antiferro
3,0.006999999999999999,3.4343434343434343,antiferro
1,0.0121,3.5353535353535355,antiferro
2,0.0068000000000000005,3.5353535353535355,antiferro
3,0.0015999999999999994,3.5353535353535355,antiferro
1,0.009850000000000001,3.6363636363636362,antiferro
2,0.015050000000000001,3.6363636363636362,antiferro
3,0.0024999999999999996,3.6363636363636362,antiferro
1,0.004549999999999999,3.7373737373737375,antiferro
2,0.005549999999999999,3.7373737373737375,antiferro
3,0.008899999999999998,3.7373737373737375,antiferro
1,0.007150000000000001,3.8383838383838382,antiferro
2,0.005350000000000001,3.8383838383838382,antiferro
3,0.004,3.8383838383838382,antiferro
1,0.00905,3.9393939393939394,antiferro
2,0.0018500000000000005,3.9393939393939394,antiferro
3,0.006199999999999999,3.9393939393939394,antiferro
1,0.0074,4.040404040404041,antiferro
2,0.003449999999999999,4.040404040404041,antiferro
3,0.0072,4.040404040404041,antiferro
1,0.013300000000000001,4.141414141414141,antiferro
2,0.0097,4.141414141414141,antiferro
3,0.003999999999999999,4.141414141414141,antiferro
1,0.008150000000000001,4.242424242424242,antiferro
2,0.00565,4.242424242424242,antiferro
3,0.0027500000000000003,4.242424242424242,antiferro
1,0.0048000000000000004,4.343434343434343,antiferro
2,0.005349999999999999,4.343434343434343,antiferro
3,0.0069500000000000004,4.343434343434343,antiferro
1,0.004399999999999999,4.444444444444445,antiferro
2,0.007250000000000001,4.444444444444445,antiferro
3,0.00545,4.444444444444445,antiferro
1,0.006699999999999999,4.545454545454545,antiferro
2,0.006900000000000002,4.545454545454545,antiferro
3,0.004050000000000001,4.545454545454545,antiferro
1,0.00685,4.646464646464646,antiferro
2,0.004200000000000001,4.646464646464646,antiferro
3,0.008,4.646464646464646,antiferro
1,0.009500000000000001,4.747474747474747,antiferro
2,0.010550000000000002,4.747474747474747,antiferro
3,0.00405,4.747474747474747,antiferro
1,0.003250000000000001,4.848484848484849,antiferro
2,0.011499999999999996,4.848484848484849,antiferro
3,0.00485,4.848484848484849,antiferro
1,0.005149999999999999,4.94949494949495,antiferro
2,0.007850000000000001,4.94949494949495,antiferro
3,0.003900000000000001,4.94949494949495,antiferro
1,0.0066,5.05050505050505,antiferro
2,0.0020999999999999994,5.05050505050505,antiferro
3,0.004049999999999999,5.05050505050505,antiferro
1,0.008150000000000001,5.151515151515151,antiferro
2,0.0072,5.151515151515151,antiferro
3,0.00605,5.151515151515151,antiferro
1,0.0085,5.252525252525253,antiferro
2,0.00565,5.252525252525253,antiferro
3,0.003050000000000001,5.252525252525253,antiferro
1,0.01155,5.353535353535354,antiferro
2,0.0021499999999999996,5.353535353535354,antiferro
3,0.0024500000000000004,5.353535353535354,antiferro
1,0.007050000000000001,5.454545454545454,antiferro
2,0.00895,5.454545454545454,antiferro
3,0.0069500000000000004,5.454545454545454,antiferro
1,0.010500000000000002,5.555555555555555,antiferro
2,0.01155,5.555555555555555,antiferro
3,0.0084,5.555555555555555,antiferro
1,0.007399999999999998,5.656565656565657,antiferro
2,0.00575,5.656565656565657,antiferro
3,0.008149999999999998,5.656565656565657,antiferro
1,0.0029500000000000004,5.757575757575758,antiferro
2,0.0036499999999999987,5.757575757575758,antiferro
3,0.00755,5.757575757575758,antiferro
1,0.004049999999999999,5.858585858585858,antiferro
2,0.00905,5.858585858585858,antiferro
3,0.009399999999999999,5.858585858585858,antiferro
1,0.0089,5.959595959595959,antiferro
2,0.003200000000000002,5.959595959595959,antiferro
3,0.0014500000000000001,5.959595959595959,antiferro
1,0.00555,6.0606060606060606,antiferro
2,0.014400000000000001,6.0606060606060606,antiferro
3,0.001,6.0606060606060606,antiferro
1,0.007699999999999999,6.161616161616162,antiferro
2,0.0024500000000000012,6.161616161616162,antiferro
3,0.0018499999999999994,6.161616161616162,antiferro
1,0.00415,6.262626262626262,antiferro
2,0.0018000000000000004,6.262626262626262,antiferro
3,0.0006500000000000006,6.262626262626262,antiferro
1,0.004,6.363636363636363,antiferro
2,0.0029000000000000002,6.363636363636363,antiferro
3,0.0077,6.363636363636363,antiferro
1,0.0069,6.4646464646464645,antiferro
2,0.004300000000000001,6.4646464646464645,antiferro
3,0.0036,6.4646464646464645,antiferro
1,0.010150000000000001,6.565656565656566,antiferro
2,0.004549999999999999,6.565656565656566,antiferro
3,0.0049,6.565656565656566,antiferro
1,0.00825,6.666666666666667,antiferro
2,0.0030500000000000006,6.666666666666667,antiferro
3,0.008350000000000002,6.666666666666667,antiferro
1,0.004300000000000001,6.767676767676767,antiferro
2,0.004750000000000001,6.767676767676767,antiferro
3,0.0021000000000000003,6.767676767676767,antiferro
1,0.004549999999999999,6.8686868686868685,antiferro
2,0.0030999999999999995,6.8686868686868685,antiferro
3,0.0044,6.8686868686868685,antiferro
1,0.00865,6.96969696969697,antiferro
2,0.0046500000000000005,6.96969696969697,antiferro
3,0.004849999999999999,6.96969696969697,antiferro
1,0.00495,7.070707070707071,antiferro
2,0.007000000000000001,7.070707070707071,antiferro
3,0.0037999999999999996,7.070707070707071,antiferro
1,0.004350000000000001,7.171717171717171,antiferro
2,0.0079,7.171717171717171,antiferro
3,0.004300000000000001,7.171717171717171,antiferro
1,0.0051,7.2727272727272725,antiferro
2,0.004899999999999999,7.2727272727272725,antiferro
3,0.004600000000000002,7.2727272727272725,antiferro
1,0.004300000000000001,7.373737373737374,antiferro
2,0.005350000000000001,7.373737373737374,antiferro
3,0.00615,7.373737373737374,antiferro
1,0.01045,7.474747474747475,antiferro
2,0.00135,7.474747474747475,antiferro
3,0.004499999999999999,7.474747474747475,antiferro
1,0.006050000000000001,7.575757575757575,antiferro
2,0.0087,7.575757575757575,antiferro
3,0.006699999999999999,7.575757575757575,antiferro
1,0.0026500000000000013,7.6767676767676765,antiferro
2,0.0103,7.6767676767676765,antiferro
3,0.0028999999999999994,7.6767676767676765,antiferro
1,0.0052499999999999995,7.777777777777778,antiferro
2,0.005299999999999999,7.777777777777778,antiferro
3,0.003999999999999999,7.777777777777778,antiferro
1,0.0019000000000000002,7.878787878787879,antiferro
2,0.00615,7.878787878787879,antiferro
3,0.004149999999999999,7.878787878787879,antiferro
1,0.0005500000000000005,7.979797979797979,antiferro
2,0.0013000000000000006,7.979797979797979,antiferro
3,0.00635,7.979797979797979,antiferro
1,0.00215,8.080808080808081,antiferro
2,0.002649999999999999,8.080808080808081,antiferro
3,0.003050000000000001,8.080808080808081,antiferro
1,0.0036,8.181818181818182,antiferro
2,0.0055000000000000005,8.181818181818182,antiferro
3,0.0004999999999999988,8.181818181818182,antiferro
1,0.00835,8.282828282828282,antiferro
2,0.004449999999999999,8.282828282828282,antiferro
3,0.00285,8.282828282828282,antiferro
1,0.007150000000000001,8.383838383838384,antiferro
2,0.003499999999999998,8.383838383838384,antiferro
3,0.004399999999999999,8.383838383838384,antiferro
1,0.003450000000000001,8.484848484848484,antiferro
2,0.001700000000000001,8.484848484848484,antiferro
3,0.002599999999999999,8.484848484848484,antiferro
1,0.0056500000000000005,8.585858585858587,antiferro
2,0.0016500000000000009,8.585858585858587,antiferro
3,0.00555,8.585858585858587,antiferro
1,0.00255,8.686868686868687,antiferro
2,0.001050000000000002,8.686868686868687,antiferro
3,0.0026999999999999993,8.686868686868687,antiferro
1,0.0009499999999999989,8.787878787878787,antiferro
2,0.002400000000000001,8.787878787878787,antiferro
3,0.011550000000000003,8.787878787878787,antiferro
1,0.0030999999999999995,8.88888888888889,antiferro
2,0.006349999999999999,8.88888888888889,antiferro
3,0.0011499999999999993,8.88888888888889,antiferro
1,0.0024500000000000012,8.98989898989899,antiferro
2,0.0035499999999999998,8.98989898989899,antiferro
3,0.006999999999999999,8.98989898989899,antiferro
1,0.004000000000000001,9.09090909090909,antiferro
2,0.00805,9.09090909090909,antiferro
3,0.007749999999999999,9.09090909090909,antiferro
1,0.004700000000000001,9.191919191919192,antiferro
2,0.004,9.191919191919192,antiferro
3,0.0034499999999999986,9.191919191919192,antiferro
1,0.00645,9.292929292929292,antiferro
2,0.005000000000000001,9.292929292929292,antiferro
3,0.008250000000000002,9.292929292929292,antiferro
1,0.0021499999999999987,9.393939393939394,antiferro
2,0.002,9.393939393939394,antiferro
3,0.0009999999999999998,9.393939393939394,antiferro
1,0.0023499999999999997,9.494949494949495,antiferro
2,0.0078000000000000005,9.494949494949495,antiferro
3,0.009600000000000001,9.494949494949495,antiferro
1,0.005199999999999999,9.595959595959595,antiferro
2,0.0030499999999999993,9.595959595959595,antiferro
3,0.0058000000000000005,9.595959595959595,antiferro
1,0.004299999999999998,9.696969696969697,antiferro
2,0.0028999999999999985,9.696969696969697,antiferro
3,0.0020500000000000006,9.696969696969697,antiferro
1,0.0060999999999999995,9.797979797979798,antiferro
2,0.0007500000000000015,9.797979797979798,antiferro
3,0.00415,9.797979797979798,antiferro
1,0.0082,9.8989898989899,antiferro
2,0.002399999999999999,9.8989898989899,antiferro
3,0.004599999999999999,9.8989898989899,antiferro
1,0.0004000000000000012,10.0,antiferro
2,0.0022499999999999985,10.0,antiferro
3,0.00215,10.0,antiferro
