p,mean_m,T,interaction_type
0.3,0.0,0.0,antiferro
0.6,0.0,0.0,antiferro
0.9,0.0,0.0,antiferro
0.3,0.00025,0.10101010101010101,antiferro
0.6,0.019749999999999997,0.10101010101010101,antiferro
0.9,0.0,0.10101010101010101,antiferro
0.3,0.034199999999999994,0.20202020202020202,antiferro
0.6,0.018199999999999997,0.20202020202020202,antiferro
0.9,5e-05,0.20202020202020202,antiferro
0.3,0.028200000000000003,0.30303030303030304,antiferro
0.6,0.01205,0.30303030303030304,antiferro
0.9,0.0012500000000000005,0.30303030303030304,antiferro
0.3,0.017799999999999996,0.40404040404040403,antiferro
0.6,0.0014500000000000001,0.40404040404040403,antiferro
0.9,0.00385,0.40404040404040403,antiferro
0.3,0.027649999999999997,0.5050505050505051,antiferro
0.6,0.0055000000000000005,0.5050505050505051,antiferro
0.9,0.00135,0.5050505050505051,antiferro
0.3,0.028849999999999997,0.6060606060606061,antiferro
0.6,0.0007999999999999999,0.6060606060606061,antiferro
0.9,0.00875,0.6060606060606061,antiferro
0.3,0.027999999999999997,0.7070707070707071,antiferro
0.6,0.0032000000000000006,0.7070707070707071,antiferro
0.9,0.00815,0.7070707070707071,antiferro
0.3,0.0291,0.8080808080808081,antiferro
0.6,0.0039000000000000003,0.8080808080808081,antiferro
0.9,0.0040999999999999995,0.8080808080808081,antiferro
0.3,0.0155,0.9090909090909091,antiferro
0.6,0.00255,0.9090909090909091,antiferro
0.9,0.00035000000000000005,0.9090909090909091,antiferro
0.3,0.0068,1.0101010101010102,antiferro
0.6,0.002,1.0101010101010102,antiferro
0.9,0.004050000000000001,1.0101010101010102,antiferro
0.3,0.0269,1.1111111111111112,antiferro
0.6,0.0038,1.1111111111111112,antiferro
0.9,0.0002499999999999997,1.1111111111111112,antiferro
0.3,0.026399999999999996,1.2121212121212122,antiferro
0.6,0.005600000000000001,1.2121212121212122,antiferro
0.9,0.006,1.2121212121212122,antiferro
0.3,0.026799999999999997,1.3131313131313131,antiferro
0.6,0.0017,1.3131313131313131,antiferro
0.9,0.0024000000000000002,1.3131313131313131,antiferro
0.3,0.0242,1.4141414141414141,antiferro
0.6,0.0032,1.4141414141414141,antiferro
0.9,0.0012,1.4141414141414141,antiferro
0.3,0.021949999999999997,1.5151515151515151,antiferro
