L,mean_m,T,interaction_type
5,1.0,0.0,ferro
7,1.0,0.0,ferro
10,1.0,0.0,ferro
5,1.0,0.04040404040404041,ferro
7,1.0,0.04040404040404041,ferro
10,1.0,0.04040404040404041,ferro
5,1.0,0.08080808080808081,ferro
7,1.0,0.08080808080808081,ferro
10,1.0,0.08080808080808081,ferro
5,1.0,0.12121212121212122,ferro
7,1.0,0.12121212121212122,ferro
10,1.0,0.12121212121212122,ferro
5,1.0,0.16161616161616163,ferro
7,0.9460714285714287,0.16161616161616163,ferro
10,0.9999750000000001,0.16161616161616163,ferro
5,1.0,0.20202020202020204,ferro
7,0.960765306122449,0.20202020202020204,ferro
10,0.9998,0.20202020202020204,ferro
5,0.9987000000000001,0.24242424242424243,ferro
7,0.9540816326530612,0.24242424242424243,ferro
10,0.9992750000000001,0.24242424242424243,ferro
5,0.8279000000000001,0.2828282828282829,ferro
7,0.928469387755102,0.2828282828282829,ferro
10,0.9975750000000001,0.2828282828282829,ferro
5,0.8705,0.32323232323232326,ferro
7,0.9079081632653061,0.32323232323232326,ferro
10,0.9955750000000001,0.32323232323232326,ferro
5,0.8655999999999999,0.36363636363636365,ferro
7,0.9018877551020409,0.36363636363636365,ferro
10,0.9923500000000001,0.36363636363636365,ferro
5,0.8208,0.4040404040404041,ferro
7,0.8818367346938778,0.4040404040404041,ferro
10,0.9870500000000001,0.4040404040404041,ferro
5,0.9876,0.4444444444444445,ferro
7,0.8688265306122449,0.4444444444444445,ferro
10,0.976225,0.4444444444444445,ferro
5,0.9891000000000001,0.48484848484848486,ferro
7,0.8640306122448981,0.48484848484848486,ferro
10,0.962825,0.48484848484848486,ferro
5,0.9919,0.5252525252525253,ferro
7,0.832857142857143,0.5252525252525253,ferro
10,0.944625,0.5252525252525253,ferro
5,0.9852,0.5656565656565657,ferro
7,0.8060714285714285,0.5656565656565657,ferro
10,0.9414250000000002,0.5656565656565657,ferro
5,0.9818999999999999,0.6060606060606061,ferro
7,0.7675510204081633,0.6060606060606061,ferro
10,0.9018250000000001,0.6060606060606061,ferro
5,0.9710000000000001,0.6464646464646465,ferro
7,0.7468877551020409,0.6464646464646465,ferro
10,0.8821749999999999,0.6464646464646465,ferro
5,0.9601,0.686868686868687,ferro
7,0.7564285714285715,0.686868686868687,ferro
10,0.798875,0.686868686868687,ferro
5,0.9545,0.7272727272727273,ferro
7,0.7165306122448979,0.7272727272727273,ferro
10,0.45215000000000005,0.7272727272727273,ferro
5,0.9397,0.7676767676767677,ferro
7,0.4917857142857143,0.7676767676767677,ferro
10,0.7368250000000001,0.7676767676767677,ferro
5,0.9329,0.8080808080808082,ferro
7,0.5180102040816327,0.8080808080808082,ferro
10,0.390425,0.8080808080808082,ferro
5,0.8859,0.8484848484848485,ferro
7,0.3477040816326531,0.8484848484848485,ferro
10,0.505475,0.8484848484848485,ferro
5,0.8901,0.888888888888889,ferro
7,0.20040816326530614,0.888888888888889,ferro
10,0.18774999999999997,0.888888888888889,ferro
5,0.8431,0.9292929292929294,ferro
7,0.19198979591836735,0.9292929292929294,ferro
10,0.25322500000000003,0.9292929292929294,ferro
5,0.8259999999999998,0.9696969696969697,ferro
7,0.09357142857142857,0.9696969696969697,ferro
10,0.1406,0.9696969696969697,ferro
5,0.7255999999999999,1.0101010101010102,ferro
7,0.1442857142857143,1.0101010101010102,ferro
10,0.171025,1.0101010101010102,ferro
5,0.7003,1.0505050505050506,ferro
7,0.12387755102040818,1.0505050505050506,ferro
10,0.122975,1.0505050505050506,ferro
5,0.6880999999999999,1.090909090909091,ferro
7,0.1303061224489796,1.090909090909091,ferro
10,0.162775,1.090909090909091,ferro
5,0.6587999999999998,1.1313131313131315,ferro
7,0.10428571428571429,1.1313131313131315,ferro
10,0.1026,1.1313131313131315,ferro
5,0.5937,1.1717171717171717,ferro
7,0.03872448979591837,1.1717171717171717,ferro
10,0.15357500000000002,1.1717171717171717,ferro
5,0.5741,1.2121212121212122,ferro
7,0.046785714285714285,1.2121212121212122,ferro
10,0.04445,1.2121212121212122,ferro
5,0.5198,1.2525252525252526,ferro
7,0.05770408163265306,1.2525252525252526,ferro
10,0.056124999999999994,1.2525252525252526,ferro
5,0.49189999999999995,1.292929292929293,ferro
7,0.056173469387755096,1.292929292929293,ferro
10,0.06925,1.292929292929293,ferro
5,0.4426,1.3333333333333335,ferro
7,0.06454081632653061,1.3333333333333335,ferro
10,0.0527,1.3333333333333335,ferro
5,0.40890000000000004,1.373737373737374,ferro
7,0.06739795918367347,1.373737373737374,ferro
10,0.045225,1.373737373737374,ferro
5,0.3803,1.4141414141414144,ferro
7,0.04448979591836734,1.4141414141414144,ferro
10,0.05867499999999999,1.4141414141414144,ferro
5,0.34299999999999997,1.4545454545454546,ferro
7,0.023979591836734697,1.4545454545454546,ferro
10,0.048299999999999996,1.4545454545454546,ferro
5,0.3131,1.494949494949495,ferro
7,0.027244897959183674,1.494949494949495,ferro
10,0.04585000000000001,1.494949494949495,ferro
5,0.3326,1.5353535353535355,ferro
7,0.03428571428571428,1.5353535353535355,ferro
10,0.03319999999999999,1.5353535353535355,ferro
5,0.2854,1.575757575757576,ferro
7,0.018367346938775512,1.575757575757576,ferro
10,0.02525,1.575757575757576,ferro
5,0.2526,1.6161616161616164,ferro
7,0.03948979591836735,1.6161616161616164,ferro
10,0.028875000000000012,1.6161616161616164,ferro
5,0.2485,1.6565656565656568,ferro
7,0.030510204081632658,1.6565656565656568,ferro
10,0.030975000000000003,1.6565656565656568,ferro
5,0.26739999999999997,1.696969696969697,ferro
7,0.03535714285714286,1.696969696969697,ferro
10,0.011625,1.696969696969697,ferro
5,0.22080000000000002,1.7373737373737375,ferro
7,0.027448979591836727,1.7373737373737375,ferro
10,0.03105,1.7373737373737375,ferro
5,0.23820000000000002,1.777777777777778,ferro
7,0.021581632653061223,1.777777777777778,ferro
10,0.02735,1.777777777777778,ferro
5,0.1896,1.8181818181818183,ferro
7,0.01530612244897959,1.8181818181818183,ferro
10,0.0184,1.8181818181818183,ferro
5,0.19280000000000003,1.8585858585858588,ferro
7,0.021989795918367347,1.8585858585858588,ferro
10,0.027550000000000005,1.8585858585858588,ferro
5,0.19779999999999998,1.8989898989898992,ferro
7,0.0176530612244898,1.8989898989898992,ferro
10,0.04290000000000001,1.8989898989898992,ferro
5,0.1609,1.9393939393939394,ferro
7,0.008214285714285716,1.9393939393939394,ferro
10,0.013025000000000002,1.9393939393939394,ferro
5,0.1604,1.97979797979798,ferro
