L,mean_m,T,interaction_type
5,0.039999999999999994,0.0,spin_glass
7,0.2653061224489796,0.0,spin_glass
10,0.4,0.0,spin_glass
5,0.018400000000000007,0.04040404040404041,spin_glass
7,0.1836734693877551,0.04040404040404041,spin_glass
10,0.3294499999999999,0.04040404040404041,spin_glass
5,0.0582,0.08080808080808081,spin_glass
7,0.2831632653061225,0.08080808080808081,spin_glass
10,0.3255999999999999,0.08080808080808081,spin_glass
5,0.05140000000000001,0.12121212121212122,spin_glass
7,0.08673469387755102,0.12121212121212122,spin_glass
10,0.25475000000000003,0.12121212121212122,spin_glass
5,0.08259999999999999,0.16161616161616163,spin_glass
7,0.05857142857142858,0.16161616161616163,spin_glass
10,0.31825,0.16161616161616163,spin_glass
5,0.09240000000000002,0.20202020202020204,spin_glass
7,0.033775510204081635,0.20202020202020204,spin_glass
10,0.27099999999999996,0.20202020202020204,spin_glass
5,0.0768,0.24242424242424243,spin_glass
7,0.03285714285714286,0.24242424242424243,spin_glass
10,0.11414999999999999,0.24242424242424243,spin_glass
5,0.0698,0.2828282828282829,spin_glass
7,0.09193877551020407,0.2828282828282829,spin_glass
10,0.11605,0.2828282828282829,spin_glass
5,0.07060000000000001,0.32323232323232326,spin_glass
7,0.048775510204081635,0.32323232323232326,spin_glass
10,0.14715,0.32323232323232326,spin_glass
5,0.08940000000000001,0.36363636363636365,spin_glass
7,0.04469387755102041,0.36363636363636365,spin_glass
10,0.10170000000000001,0.36363636363636365,spin_glass
5,0.064,0.4040404040404041,spin_glass
7,0.03653061224489796,0.4040404040404041,spin_glass
10,0.18375000000000002,0.4040404040404041,spin_glass
5,0.0762,0.4444444444444445,spin_glass
7,0.057346938775510205,0.4444444444444445,spin_glass
10,0.1907,0.4444444444444445,spin_glass
5,0.04460000000000001,0.48484848484848486,spin_glass
7,0.03969387755102041,0.48484848484848486,spin_glass
10,0.11815000000000002,0.48484848484848486,spin_glass
5,0.0626,0.5252525252525253,spin_glass
7,0.04183673469387755,0.5252525252525253,spin_glass
10,0.15225000000000002,0.5252525252525253,spin_glass
5,0.04580000000000001,0.5656565656565657,spin_glass
7,0.03520408163265306,0.5656565656565657,spin_glass
10,0.13935000000000003,0.5656565656565657,spin_glass
5,0.0262,0.6060606060606061,spin_glass
7,0.03908163265306122,0.6060606060606061,spin_glass
10,0.06345,0.6060606060606061,spin_glass
5,0.057600000000000005,0.6464646464646465,spin_glass
7,0.029081632653061226,0.6464646464646465,spin_glass
10,0.029400000000000003,0.6464646464646465,spin_glass
5,0.0276,0.686868686868687,spin_glass
7,0.05418367346938775,0.686868686868687,spin_glass
10,0.0529,0.686868686868687,spin_glass
5,0.0262,0.7272727272727273,spin_glass
7,0.032755102040816324,0.7272727272727273,spin_glass
10,0.051550000000000006,0.7272727272727273,spin_glass
5,0.008000000000000002,0.7676767676767677,spin_glass
7,0.04224489795918368,0.7676767676767677,spin_glass
10,0.051500000000000004,0.7676767676767677,spin_glass
5,0.008400000000000003,0.8080808080808082,spin_glass
7,0.03642857142857143,0.8080808080808082,spin_glass
10,0.048900000000000006,0.8080808080808082,spin_glass
5,0.023,0.8484848484848485,spin_glass
7,0.031020408163265303,0.8484848484848485,spin_glass
10,0.04295,0.8484848484848485,spin_glass
5,0.025000000000000005,0.888888888888889,spin_glass
7,0.03346938775510204,0.888888888888889,spin_glass
10,0.0418,0.888888888888889,spin_glass
5,0.014400000000000003,0.9292929292929294,spin_glass
7,0.036326530612244896,0.9292929292929294,spin_glass
10,0.019,0.9292929292929294,spin_glass
5,0.027600000000000006,0.9696969696969697,spin_glass
7,0.031632653061224494,0.9696969696969697,spin_glass
10,0.023100000000000006,0.9696969696969697,spin_glass
5,0.005000000000000002,1.0101010101010102,spin_glass
7,0.03602040816326531,1.0101010101010102,spin_glass
10,0.03795,1.0101010101010102,spin_glass
5,0.024400000000000005,1.0505050505050506,spin_glass
7,0.03295918367346939,1.0505050505050506,spin_glass
10,0.0313,1.0505050505050506,spin_glass
5,0.004999999999999999,1.090909090909091,spin_glass
7,0.015816326530612247,1.090909090909091,spin_glass
10,0.0070999999999999995,1.090909090909091,spin_glass
5,0.026000000000000002,1.1313131313131315,spin_glass
7,0.024285714285714285,1.1313131313131315,spin_glass
10,0.030950000000000005,1.1313131313131315,spin_glass
5,0.0388,1.1717171717171717,spin_glass
7,0.019897959183673472,1.1717171717171717,spin_glass
10,0.012999999999999998,1.1717171717171717,spin_glass
5,0.035,1.2121212121212122,spin_glass
7,0.025,1.2121212121212122,spin_glass
10,0.0034,1.2121212121212122,spin_glass
5,0.0458,1.2525252525252526,spin_glass
7,0.007448979591836733,1.2525252525252526,spin_glass
10,0.0215,1.2525252525252526,spin_glass
5,0.047400000000000005,1.292929292929293,spin_glass
7,0.022857142857142857,1.292929292929293,spin_glass
10,0.022949999999999998,1.292929292929293,spin_glass
5,0.0492,1.3333333333333335,spin_glass
7,0.008265306122448978,1.3333333333333335,spin_glass
10,0.022250000000000002,1.3333333333333335,spin_glass
5,0.059399999999999994,1.373737373737374,spin_glass
7,0.021122448979591833,1.373737373737374,spin_glass
10,0.0192,1.373737373737374,spin_glass
5,0.053,1.4141414141414144,spin_glass
7,0.012142857142857144,1.4141414141414144,spin_glass
10,0.02825,1.4141414141414144,spin_glass
5,0.057,1.4545454545454546,spin_glass
7,0.012448979591836735,1.4545454545454546,spin_glass
10,0.01535,1.4545454545454546,spin_glass
5,0.050600000000000006,1.494949494949495,spin_glass
7,0.00959183673469388,1.494949494949495,spin_glass
10,0.013200000000000003,1.494949494949495,spin_glass
5,0.06059999999999999,1.5353535353535355,spin_glass
7,0.00836734693877551,1.5353535353535355,spin_glass
10,0.0043500000000000014,1.5353535353535355,spin_glass
5,0.051199999999999996,1.575757575757576,spin_glass
7,0.02193877551020408,1.575757575757576,spin_glass
10,0.012300000000000002,1.575757575757576,spin_glass
5,0.05260000000000001,1.6161616161616164,spin_glass
7,0.010714285714285714,1.6161616161616164,spin_glass
10,0.0173,1.6161616161616164,spin_glass
5,0.063,1.6565656565656568,spin_glass
7,0.01040816326530612,1.6565656565656568,spin_glass
10,0.0128,1.6565656565656568,spin_glass
5,0.06280000000000001,1.696969696969697,spin_glass
7,0.014285714285714285,1.696969696969697,spin_glass
10,0.0029000000000000015,1.696969696969697,spin_glass
5,0.04739999999999999,1.7373737373737375,spin_glass
7,0.010102040816326532,1.7373737373737375,spin_glass
10,0.0040999999999999995,1.7373737373737375,spin_glass
5,0.0584,1.777777777777778,spin_glass
7,0.0077551020408163284,1.777777777777778,spin_glass
10,0.014100000000000001,1.777777777777778,spin_glass
5,0.0432,1.8181818181818183,spin_glass
7,0.004489795918367346,1.8181818181818183,spin_glass
10,0.005999999999999998,1.8181818181818183,spin_glass
5,0.05960000000000001,1.8585858585858588,spin_glass
7,0.0066326530612244895,1.8585858585858588,spin_glass
10,0.0018999999999999983,1.8585858585858588,spin_glass
5,0.0544,1.8989898989898992,spin_glass
7,0.01326530612244898,1.8989898989898992,spin_glass
10,0.0029,1.8989898989898992,spin_glass
5,0.044,1.9393939393939394,spin_glass
7,0.005306122448979591,1.9393939393939394,spin_glass
10,0.010049999999999998,1.9393939393939394,spin_glass
5,0.039200000000000006,1.97979797979798,spin_glass
7,0.00836734693877551,1.97979797979798,spin_glass
10,0.006449999999999999,1.97979797979798,spin_glass
5,0.0524,2.0202020202020203,spin_glass
7,0.010816326530612246,2.0202020202020203,spin_glass
10,0.0173,2.0202020202020203,spin_glass
5,0.047400000000000005,2.060606060606061,spin_glass
7,0.0023469387755102058,2.060606060606061,spin_glass
10,0.0058000000000000005,2.060606060606061,spin_glass
5,0.0492,2.101010101010101,spin_glass
7,0.008775510204081632,2.101010101010101,spin_glass
10,0.012249999999999999,2.101010101010101,spin_glass
5,0.0432,2.1414141414141414,spin_glass
7,0.008877551020408166,2.1414141414141414,spin_glass
10,0.00395,2.1414141414141414,spin_glass
5,0.051000000000000004,2.181818181818182,spin_glass
7,0.006020408163265307,2.181818181818182,spin_glass
10,0.0044,2.181818181818182,spin_glass
5,0.042199999999999994,2.2222222222222223,spin_glass
7,0.00979591836734694,2.2222222222222223,spin_glass
10,0.00365,2.2222222222222223,spin_glass
5,0.06060000000000001,2.262626262626263,spin_glass
7,0.0060204081632653055,2.262626262626263,spin_glass
10,0.0069500000000000004,2.262626262626263,spin_glass
5,0.0346,2.303030303030303,spin_glass
7,0.004387755102040816,2.303030303030303,spin_glass
10,0.0111,2.303030303030303,spin_glass
5,0.039599999999999996,2.3434343434343434,spin_glass
7,0.015,2.3434343434343434,spin_glass
10,0.0173,2.3434343434343434,spin_glass
5,0.04039999999999999,2.383838383838384,spin_glass
7,0.011632653061224487,2.383838383838384,spin_glass
10,0.011750000000000003,2.383838383838384,spin_glass
5,0.0482,2.4242424242424243,spin_glass
7,0.0063265306122448975,2.4242424242424243,spin_glass
10,0.007400000000000001,2.4242424242424243,spin_glass
5,0.039,2.464646464646465,spin_glass
7,0.006020408163265304,2.464646464646465,spin_glass
10,0.0034999999999999996,2.464646464646465,spin_glass
5,0.0432,2.505050505050505,spin_glass
7,0.0033673469387755107,2.505050505050505,spin_glass
10,0.00665,2.505050505050505,spin_glass
5,0.048799999999999996,2.545454545454546,spin_glass
7,0.005,2.545454545454546,spin_glass
10,0.0126,2.545454545454546,spin_glass
5,0.0328,2.585858585858586,spin_glass
7,0.004081632653061226,2.585858585858586,spin_glass
10,0.007000000000000001,2.585858585858586,spin_glass
5,0.044399999999999995,2.6262626262626263,spin_glass
7,0.013673469387755101,2.6262626262626263,spin_glass
10,0.007350000000000001,2.6262626262626263,spin_glass
5,0.046799999999999994,2.666666666666667,spin_glass
7,0.006428571428571428,2.666666666666667,spin_glass
10,0.011049999999999999,2.666666666666667,spin_glass
5,0.0496,2.707070707070707,spin_glass
7,0.004081632653061226,2.707070707070707,spin_glass
10,0.002299999999999999,2.707070707070707,spin_glass
5,0.033999999999999996,2.747474747474748,spin_glass
7,0.005204081632653063,2.747474747474748,spin_glass
10,0.00365,2.747474747474748,spin_glass
5,0.0418,2.787878787878788,spin_glass
7,0.0059183673469387745,2.787878787878788,spin_glass
10,0.00985,2.787878787878788,spin_glass
5,0.04300000000000001,2.8282828282828287,spin_glass
7,0.009693877551020412,2.8282828282828287,spin_glass
10,0.0083,2.8282828282828287,spin_glass
5,0.042,2.868686868686869,spin_glass
7,0.009081632653061224,2.868686868686869,spin_glass
10,0.0063,2.868686868686869,spin_glass
5,0.04100000000000001,2.909090909090909,spin_glass
7,0.003469387755102041,2.909090909090909,spin_glass
10,0.01735,2.909090909090909,spin_glass
5,0.0368,2.94949494949495,spin_glass
7,0.007244897959183674,2.94949494949495,spin_glass
