N,mean_m,T,interaction_type
25,1.0,0.0,ferro
49,1.0,0.0,ferro
100,1.0,0.0,ferro
25,1.0,0.5025125628140703,ferro
49,1.0,0.5025125628140703,ferro
100,1.0,0.5025125628140703,ferro
25,1.0,1.0050251256281406,ferro
49,1.0,1.0050251256281406,ferro
100,1.0,1.0050251256281406,ferro
25,1.0,1.507537688442211,ferro
49,1.0,1.507537688442211,ferro
100,1.0,1.507537688442211,ferro
25,1.0,2.0100502512562812,ferro
49,1.0,2.0100502512562812,ferro
100,1.0,2.0100502512562812,ferro
25,0.9998,2.5125628140703515,ferro
49,1.0,2.5125628140703515,ferro
100,1.0,2.5125628140703515,ferro
25,0.9987999999999999,3.015075376884422,ferro
49,1.0,3.015075376884422,ferro
100,1.0,3.015075376884422,ferro
25,0.9963,3.517587939698492,ferro
49,1.0,3.517587939698492,ferro
100,1.0,3.517587939698492,ferro
25,0.9924000000000001,4.0201005025125625,ferro
49,1.0,4.0201005025125625,ferro
100,1.0,4.0201005025125625,ferro
25,0.9859,4.522613065326633,ferro
49,0.9998979591836735,4.522613065326633,ferro
100,1.0,4.522613065326633,ferro
25,0.9770999999999999,5.025125628140703,ferro
49,0.9997448979591836,5.025125628140703,ferro
100,1.0,5.025125628140703,ferro
25,0.9626000000000001,5.527638190954773,ferro
49,0.9995408163265307,5.527638190954773,ferro
100,1.0,5.527638190954773,ferro
25,0.9477,6.030150753768844,ferro
49,0.9991326530612246,6.030150753768844,ferro
100,1.0,6.030150753768844,ferro
25,0.924,6.532663316582914,ferro
49,0.9984183673469389,6.532663316582914,ferro
100,1.0,6.532663316582914,ferro
25,0.8904000000000001,7.035175879396984,ferro
49,0.9970918367346939,7.035175879396984,ferro
100,1.0,7.035175879396984,ferro
25,0.5847,7.537688442211055,ferro
49,0.9962244897959184,7.537688442211055,ferro
100,1.0,7.537688442211055,ferro
25,0.20019999999999996,8.040201005025125,ferro
49,0.9937244897959183,8.040201005025125,ferro
100,1.0,8.040201005025125,ferro
25,0.24529999999999996,8.542713567839195,ferro
49,0.9910204081632653,8.542713567839195,ferro
100,1.0,8.542713567839195,ferro
25,0.13899999999999996,9.045226130653266,ferro
49,0.9881632653061225,9.045226130653266,ferro
100,1.0,9.045226130653266,ferro
25,0.23269999999999996,9.547738693467336,ferro
49,0.9837755102040816,9.547738693467336,ferro
100,1.0,9.547738693467336,ferro
25,0.17669999999999997,10.050251256281406,ferro
49,0.9773979591836737,10.050251256281406,ferro
100,0.9999000000000001,10.050251256281406,ferro
25,0.13040000000000002,10.552763819095476,ferro
49,0.9715306122448981,10.552763819095476,ferro
100,0.9998500000000001,10.552763819095476,ferro
25,0.10200000000000001,11.055276381909547,ferro
49,0.9672959183673471,11.055276381909547,ferro
100,0.9996750000000001,11.055276381909547,ferro
25,0.0688,11.557788944723617,ferro
49,0.9604081632653061,11.557788944723617,ferro
100,0.99955,11.557788944723617,ferro
25,0.048299999999999996,12.060301507537687,ferro
49,0.9495408163265306,12.060301507537687,ferro
100,0.999325,12.060301507537687,ferro
25,0.057600000000000005,12.562814070351758,ferro
49,0.9439285714285716,12.562814070351758,ferro
100,0.9992750000000001,12.562814070351758,ferro
25,0.0603,13.065326633165828,ferro
49,0.9316836734693879,13.065326633165828,ferro
100,0.9990249999999999,13.065326633165828,ferro
25,0.0343,13.567839195979898,ferro
49,0.9205102040816326,13.567839195979898,ferro
100,0.9982500000000001,13.567839195979898,ferro
25,0.05320000000000001,14.070351758793969,ferro
49,0.9061734693877551,14.070351758793969,ferro
100,0.9978250000000001,14.070351758793969,ferro
25,0.029700000000000004,14.572864321608039,ferro
49,0.8927551020408163,14.572864321608039,ferro
100,0.997225,14.572864321608039,ferro
25,0.0141,15.07537688442211,ferro
49,0.8714795918367346,15.07537688442211,ferro
100,0.99695,15.07537688442211,ferro
25,0.04019999999999999,15.57788944723618,ferro
49,0.8585714285714287,15.57788944723618,ferro
100,0.9957750000000001,15.57788944723618,ferro
25,0.0179,16.08040201005025,ferro
49,0.8397959183673469,16.08040201005025,ferro
100,0.9951749999999999,16.08040201005025,ferro
25,0.033600000000000005,16.58291457286432,ferro
49,0.8094897959183673,16.58291457286432,ferro
100,0.9942500000000001,16.58291457286432,ferro
25,0.0194,17.08542713567839,ferro
49,0.5285204081632653,17.08542713567839,ferro
100,0.9931750000000001,17.08542713567839,ferro
25,0.0189,17.587939698492463,ferro
49,0.4104081632653061,17.587939698492463,ferro
100,0.9918,17.587939698492463,ferro
25,0.0133,18.09045226130653,ferro
49,0.38040816326530613,18.09045226130653,ferro
100,0.9897750000000001,18.09045226130653,ferro
25,0.0287,18.5929648241206,ferro
49,0.16183673469387755,18.5929648241206,ferro
100,0.98865,18.5929648241206,ferro
25,0.021,19.09547738693467,ferro
49,0.21270408163265309,19.09547738693467,ferro
100,0.987175,19.09547738693467,ferro
25,0.0225,19.597989949748744,ferro
