p,mean_m,T,interaction_type
0.3,0.019999999999999997,0.0,antiferro
0.6,0.019999999999999997,0.0,antiferro
0.9,0.039999999999999994,0.0,antiferro
0.3,0.028600000000000004,0.10101010101010101,antiferro
0.6,0.00855,0.10101010101010101,antiferro
0.9,0.013500000000000002,0.10101010101010101,antiferro
0.3,0.015300000000000001,0.20202020202020202,antiferro
0.6,0.048600000000000004,0.20202020202020202,antiferro
0.9,0.00395,0.20202020202020202,antiferro
0.3,0.006599999999999999,0.30303030303030304,antiferro
0.6,0.0799,0.30303030303030304,antiferro
0.9,0.007850000000000001,0.30303030303030304,antiferro
0.3,0.00575,0.40404040404040403,antiferro
0.6,0.035949999999999996,0.40404040404040403,antiferro
0.9,0.024849999999999997,0.40404040404040403,antiferro
0.3,0.00545,0.5050505050505051,antiferro
0.6,0.05665,0.5050505050505051,antiferro
0.9,0.020649999999999998,0.5050505050505051,antiferro
0.3,0.0026,0.6060606060606061,antiferro
0.6,0.032350000000000004,0.6060606060606061,antiferro
0.9,0.0256,0.6060606060606061,antiferro
0.3,0.0020499999999999997,0.7070707070707071,antiferro
0.6,0.02895,0.7070707070707071,antiferro
0.9,0.0138,0.7070707070707071,antiferro
0.3,0.0022000000000000006,0.8080808080808081,antiferro
0.6,0.02775,0.8080808080808081,antiferro
0.9,0.0152,0.8080808080808081,antiferro
0.3,0.0055000000000000005,0.9090909090909091,antiferro
0.6,0.0361,0.9090909090909091,antiferro
0.9,0.009949999999999999,0.9090909090909091,antiferro
0.3,0.0012999999999999997,1.0101010101010102,antiferro
0.6,0.021150000000000002,1.0101010101010102,antiferro
0.9,0.009600000000000001,1.0101010101010102,antiferro
0.3,0.0008,1.1111111111111112,antiferro
0.6,0.019650000000000004,1.1111111111111112,antiferro
0.9,0.00395,1.1111111111111112,antiferro
0.3,0.0042,1.2121212121212122,antiferro
0.6,0.014500000000000002,1.2121212121212122,antiferro
0.9,0.0029499999999999995,1.2121212121212122,antiferro
0.3,0.0018,1.3131313131313131,antiferro
0.6,0.015,1.3131313131313131,antiferro
0.9,0.00205,1.3131313131313131,antiferro
0.3,0.005399999999999999,1.4141414141414141,antiferro
0.6,0.01275,1.4141414141414141,antiferro
0.9,0.0013999999999999996,1.4141414141414141,antiferro
0.3,0.0045000000000000005,1.5151515151515151,antiferro
0.6,0.011399999999999999,1.5151515151515151,antiferro
0.9,0.006750000000000001,1.5151515151515151,antiferro
0.3,0.00030000000000000024,1.6161616161616161,antiferro
0.6,0.01455,1.6161616161616161,antiferro
0.9,0.004800000000000001,1.6161616161616161,antiferro
0.3,0.0051,1.7171717171717171,antiferro
0.6,0.009949999999999999,1.7171717171717171,antiferro
0.9,0.00485,1.7171717171717171,antiferro
0.3,0.0009999999999999996,1.8181818181818181,antiferro
0.6,0.0085,1.8181818181818181,antiferro
0.9,0.003449999999999999,1.8181818181818181,antiferro
0.3,0.00205,1.9191919191919191,antiferro
0.6,0.00665,1.9191919191919191,antiferro
0.9,0.0067,1.9191919191919191,antiferro
0.3,0.0046500000000000005,2.0202020202020203,antiferro
0.6,0.004399999999999999,2.0202020202020203,antiferro
0.9,0.0025,2.0202020202020203,antiferro
0.3,0.0021499999999999996,2.121212121212121,antiferro
0.6,0.0024499999999999986,2.121212121212121,antiferro
0.9,0.0014000000000000004,2.121212121212121,antiferro
0.3,0.00315,2.2222222222222223,antiferro
0.6,0.005849999999999999,2.2222222222222223,antiferro
0.9,0.0029500000000000004,2.2222222222222223,antiferro
0.3,0.0032500000000000007,2.323232323232323,antiferro
0.6,0.006699999999999999,2.323232323232323,antiferro
0.9,0.0022,2.323232323232323,antiferro
0.3,0.000800000000000001,2.4242424242424243,antiferro
0.6,0.00315,2.4242424242424243,antiferro
0.9,0.00505,2.4242424242424243,antiferro
0.3,0.0017500000000000003,2.525252525252525,antiferro
0.6,0.0058000000000000005,2.525252525252525,antiferro
0.9,0.006,2.525252525252525,antiferro
0.3,0.00515,2.6262626262626263,antiferro
0.6,0.003300000000000001,2.6262626262626263,antiferro
0.9,0.0015000000000000007,2.6262626262626263,antiferro
0.3,0.0051,2.727272727272727,antiferro
0.6,0.0026999999999999993,2.727272727272727,antiferro
0.9,0.0062,2.727272727272727,antiferro
0.3,0.006699999999999999,2.8282828282828283,antiferro
0.6,0.005549999999999999,2.8282828282828283,antiferro
0.9,0.005849999999999999,2.8282828282828283,antiferro
0.3,0.0033499999999999992,2.929292929292929,antiferro
0.6,0.00265,2.929292929292929,antiferro
0.9,0.0009000000000000005,2.929292929292929,antiferro
0.3,0.00285,3.0303030303030303,antiferro
0.6,0.006100000000000001,3.0303030303030303,antiferro
0.9,0.006200000000000001,3.0303030303030303,antiferro
0.3,0.0037,3.131313131313131,antiferro
0.6,0.0024,3.131313131313131,antiferro
0.9,0.0029000000000000002,3.131313131313131,antiferro
0.3,0.0010500000000000004,3.2323232323232323,antiferro
0.6,0.0017000000000000003,3.2323232323232323,antiferro
0.9,0.005,3.2323232323232323,antiferro
0.3,0.0017000000000000008,3.3333333333333335,antiferro
0.6,0.006200000000000001,3.3333333333333335,antiferro
0.9,0.0048,3.3333333333333335,antiferro
0.3,0.006099999999999999,3.4343434343434343,antiferro
0.6,0.004900000000000001,3.4343434343434343,antiferro
0.9,0.004299999999999999,3.4343434343434343,antiferro
0.3,0.0011000000000000005,3.5353535353535355,antiferro
0.6,0.004699999999999999,3.5353535353535355,antiferro
0.9,0.0006499999999999994,3.5353535353535355,antiferro
0.3,0.007250000000000001,3.6363636363636362,antiferro
0.6,0.00185,3.6363636363636362,antiferro
0.9,0.0049,3.6363636363636362,antiferro
0.3,0.0046,3.7373737373737375,antiferro
